Key,English,Hindi,Marathi,Arabic
FM_Q60_Title,Forearm Supination,अग्रबाहु सुपिनेशन,मनगटाचे सुपिनेशन,استلقاء الساعد
FM_Q60_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q60_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q60_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q60_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q61_Title,Wrist Flexion,कलाई का झुकाव,मनगटाचे वळण,ثني الرسغ
FM_Q61_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q61_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q61_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q61_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q62_Title,Wrist Extension,कलाई का विस्तार,मनगटाचा विस्तार,تمديد الرسغ
FM_Q62_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q62_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q62_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q62_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q63_Title,Finger Flexion,उंगली का मुड़ना,बोटांचे वळण,ثني الأصابع
FM_Q63_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q63_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q63_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q63_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
FM_Q64_Title,Finger Extension,उंगली का विस्तार,बोटांचा विस्तार,تمديد الأصابع
FM_Q64_Instruction,Assess pain during passive movement.,निष्क्रिय गति के दौरान दर्द का आकलन करें।,निष्क्रिय हालचालीदरम्यान वेदनांचे मूल्यांकन करा.,قم بتقييم الألم أثناء الحركة السلبية.
FM_Q64_A0,"Pronounced pain during movement, or very marked pain at end of movement","चलने-फिरने के दौरान तेज दर्द होना, या चलने-फिरने के अंत में बहुत तेज दर्द होना","हालचाल करताना तीव्र वेदना, किंवा हालचाल संपल्यावर अतिशय तीव्र वेदना",ألم شديد أثناء الحركة، أو ألم حاد للغاية في نهاية الحركة
FM_Q64_A1,Some pain,कुछ दर्द,काही वेदना,بعض الألم
FM_Q64_A2,No pain,कोई दर्द नहीं,वेदना नाही,لا ألم
